Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Watermark extension UUID: watermark@germanfr,6f63dba1-b9f3-4c98-ac5b-a0580e70697f,38849451,38849451,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
gTile@shuairan - Upgraded from Mint 19.1 to 19.2 and gTile stopped working,52a98264-1a60-4cac-9fd4-d51e8bd48a65,11470532,11470532,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
gTile@shuairan: Current version does not work on cinnamon 3.6.7,28b0bd8b-d9b4-487f-a027-20571fef9263,49053218,49053218,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
DesktopCube@yare: background behind cube should be custom image or black,3bba5a8b-1c46-49f2-b57d-ee61df9f6bf1,73755,73755,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,,CREATION
wobbly-windows@mecheye.net : Some tearing affect and hickups,985361c1-71ea-4af2-a47f-97c7ac4418bd,2259575,2259575,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,0,,CREATION
Flipper@connerdev: transition has visual glitch,c872a44b-2241-49e3-8e66-2915c7d4d676,9968138,9968138,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,0,,CREATION
workspace-scroller@ori: Cinnamon 4.0 Support,590f829b-62f0-4a52-a528-1c9cb08b1538,1300133,1300133,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,,CREATION
"Flipper@connerdev: works, but no settings reachable in LM19.1",1cdea4a6-136c-48c8-b9c1-6b5390ce7c04,9968138,9968138,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
gTile@shuairan : keyboard support for multi monitor grid,9272b883-cf90-4b65-9587-2ecd4eddbe0e,5958984,5958984,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,6,,CREATION
desktop-scroller@ccadeptic23  blocks mouse clicks on screen border,2024bd7a-bd70-41c6-8ab3-7b0fd9966b97,17616347,17616347,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,0,,CREATION
" workspace-grid@daemonl not compatible with 3.6.7",76d8e90f-a4f3-46f8-acd2-466f0f088d76,17271565,17271565,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
Extensions licensing,80dfaf68-f824-4be9-aaca-a9797dc4e864,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,8,,CREATION
spice workspace-scroller: works on only one monitor in extended display mode,0ceb1c25-98c0-4daa-9413-08d20ab82861,2837468,2837468,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,,CREATION
smart-panel@mohammad-sn: Doesn't work with a second panel,841a10bf-fda3-473b-9fb8-2b6779bde20b,13596575,13596575,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
CinnaDockP2@norbusan: does not work,6baa104c-3e58-4b7b-bc94-2193e1e1f6a2,8415124,8415124,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
[Request] Can we ask for requests here? Also a bug. (opacify@anish.org),f6b7d664-7cf6-4dd4-84a3-3d3b48a6cafb,19552720,19552720,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,,CREATION
Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),2e8b446c-1e18-416c-bc7a-6a71d286e59f,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Watermark nl.po,8b01c7af-9a4b-4844-8a3e-36a6c124254f,3099270,3099270,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Watermark nl.po,98d21e8d-a5d0-4807-b04c-81e6d6bc625c,3099270,3099270,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Update Watermark v4.2-20190710 (watermark@germanfr),3a15c572-fdf0-40eb-b778-309ede116754,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
workspace-scroller@ori: Update da.po,2d5e40ac-92d0-445e-9c79-bb028c87c930,7993570,7993570,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
watermark@germanfr: Update da.po,4d3a23d4-57af-416c-b556-5991beff12e5,7993570,7993570,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
transparent-panels@germanfr: Update da.po,ba34d44a-2b3f-4d01-856a-3344896a55a0,7993570,7993570,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
DesktopCube@yare: Update da.po,e74269bd-3b75-41e1-adfb-7caf759cce44,7993570,7993570,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),b8bcd47e-fa71-4c76-9f41-99f5d3b18165,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Watermark nl.po,9b70d2bf-0a7e-4980-ad88-0add01a08fa9,3099270,3099270,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Update Watermark v4.2-20190710 (watermark@germanfr),873b3362-d091-4e21-a453-f6a123a8060e,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),f7f0406c-2363-4fd6-a258-46d8b1946402,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Added Italian translation to all extensions,ed0e4854-4f7b-49d4-b031-3874223a5a5f,1354519,1354519,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,3,,CREATION
Update Watermark v4.2-20190710 (watermark@germanfr),b12224e9-a29f-442f-b8ea-0fa3ba249094,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
[watermark@germanfr] Updated fr.po - French translation,4cb0482d-0391-4c00-b67f-9ddc5e400f36,33965039,33965039,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,7,,CREATION
gTile@shuairan: Add Cinnamon 4.2 to compatibility list,1bce253c-9a27-4867-859c-cdecd1a227e2,150479,150479,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
cinnamon-maximus@fmete: remove some hacks,e5ff30ee-6ef7-49c1-a9e5-7ab5075fdbc9,20357500,20357500,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
maximus@fmete: update to make the extension working,43dd6d98-3b6f-4057-aed5-3a3967dadf35,20357500,20357500,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Transparent Panels (transparent-panels@germanfr) will not load with Cinnamon 4.2.3,b8893930-a6ee-4f16-a335-f76635f148be,44762859,44762859,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,1,,CREATION
[DesktopCube@yare] - Compatibility with Cinnamon 4.2,e8b22318-81b7-4f70-9548-835351120464,33965039,33965039,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
[Win7AltTab@entelechy] Enable showing windows from all workspaces,26900dad-2341-4e62-83fe-2a6c58a9213f,12522078,12522078,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),c9c8e05d-e636-4c36-bc8a-77318193eefc,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,2,,CREATION
Update Watermark v4.2-20190710 (watermark@germanfr),da5ed11d-3415-4118-8d56-428ea8c23a69,10391266,10391266,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
wobbly-windows@mecheye.net : doesn't work in Linux Mint 19.1,3472e803-ca4f-4250-852d-fe328f15d1ad,6375934,6375934,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,2,,CREATION
Update vulnerable NPM dependencies,537b8cf0-373b-46a4-88ac-2c62e398e321,6859057,6859057,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
workspace-names-updater@workspace-manager.gitlab.io: Initial Commit,62fe5624-0092-471c-9a6b-6c98ba60fcb0,47278150,47278150,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
[desktop-icons-per-workspace@cardsurf] Use mktemp command,12790b92-01b3-4562-ba81-a778f4c66ad0,3139729,3139729,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
Workspace grid nl.po,d9b4498e-6961-4d9c-aa2b-dcd4da270981,3099270,3099270,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,0,,CREATION
DesktopCube@yare: Button to access to the Cinnamon Settings Workspaces module.,e454501c-ee9a-4594-834a-35fb0dd2bae0,33965039,33965039,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,2,,CREATION
DesktopCube@yare: workspace 1--> 4 or 4-->1,1f78fc1e-757f-4e62-97c4-51150cd9042c,9275768,9275768,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,closed,,2,,CREATION
Watermark extension UUID: watermark@germanfr,3f74979c-82bc-41e9-92ed-d8baf825d8b1,38849451,38849451,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"watermark@germanfr After downloading the applet again and loading it is now working.  However, many lines in the .Xsession-errors file: Cjs-Message: 22:14:56.005: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 42 ms Cjs-Message: 22:14:56.019: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 14 ms Cjs-Message: 22:14:56.034: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 16 ms Cjs-Message: 22:14:56.047: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 12 ms Cjs-Message: 22:14:56.062: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 16 ms Cjs-Message: 22:14:56.076: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 14 ms Cjs-Message: 22:14:56.091: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 14 ms Cjs-Message: 22:14:56.104: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 14 ms Cjs-Message: 22:14:56.117: JS LOG: [LookingGlass/info] Loaded extension watermark@germanfr in 12 ms Cjs-Message: 22:14:56.118: JS LOG: [LookingGlass/info] ExtensionSystem started in 5214 ms Cinnamon warning: Log level 128: posix_spawn avoided (automatic reaping requested) (fd close requested)  Cinnamon warning: Log level 128: posix_spawn avoided (automatic reaping requested) (fd close requested)  ",COMMENT
Watermark extension UUID: watermark@germanfr,91c211ce-1848-479c-ae04-a48428fe49e1,38849451,38849451,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"watermark@germanfr Sorry, don't know how this was closed, issue above unchanged. Also if clicking the **-** the extension is not removed and still shows on the screen. If click to remove the extension, the computer freezes and needs Ctrl+F1 then Ctrl+Alt +Del to reboot.",COMMENT
gTile@shuairan - Upgraded from Mint 19.1 to 19.2 and gTile stopped working,a9fee17d-6a3e-4e48-a613-384a4f704ab6,11470532,11470532,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"I manually edited `~/.local/share/cinnamon/extensions/gTile@shuairan/metadata.json` and added `4.2` to it and relaunched Cinnamon. It then let me actually launch the extension. Then I was able to get to the settings, etc. as I normally would.  However, now there is a whole bunch of the `2x2` and `3x3` and `4x4` and `6x6` buttons showing in it... ![image](https://user-images.githubusercontent.com/11470532/62400326-0ea6fa00-b53c-11e9-911a-b3fd7abcb5a2.png)   ",COMMENT
gTile@shuairan - Upgraded from Mint 19.1 to 19.2 and gTile stopped working,19cc5734-5e1f-407e-9b8b-0728b684eb29,5958984,11470532,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,I also heavily use gTile so would like this to work.  I tried to just +1 the original comment but it seems to be broken.,COMMENT
gTile@shuairan: Current version does not work on cinnamon 3.6.7,eff4ceea-00a4-4fc9-9a75-e00015634856,386567,49053218,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,Proposed fix worked on Debian Buster + cinnamon 3.8.8,COMMENT
gTile@shuairan: Current version does not work on cinnamon 3.6.7,5149f147-bd1d-4210-baae-c2130ea83152,2505927,49053218,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"I fixed the problem on my 3.8.8 install by using panel.actor.get_height() instead, but I have low confidence that this is correct in all cases.",COMMENT
DesktopCube@yare: background behind cube should be custom image or black,ed717b7b-e04d-4862-bd14-0fdd692363a7,73755,73755,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,Also I felt like this was a bug because the screenshot showed a black background.  Thanks again for this extension!,COMMENT
DesktopCube@yare: background behind cube should be custom image or black,3139e3ad-308c-4497-a946-d1b33892efdc,33965039,73755,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,"Hi @bminer,  I'm not the author of this extension. I will try to satisfy your feature request, but without guarantee of result.",COMMENT
DesktopCube@yare: background behind cube should be custom image or black,206e5a1a-1b2c-497a-9c16-12381d6f4d54,73755,73755,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,":) Thanks, @claudiux.  Sorry to bother you directly with it.  You were one of the last folks to commit.",COMMENT
workspace-scroller@ori: Cinnamon 4.0 Support,c3871060-0b18-4a1f-91d2-bd629664e992,432683,1300133,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,"~~Hello!~~ ~~I would immensely appreciate if you could update it. I tried changing the metadata.json, but it seems not to be compatible with latest Cinnamon 4.0, some more changes seems to be necessary~~ :cry:  [EDIT] I commented at the wrong place/extension. Sorry!! Indeed this one works just fine!",COMMENT
workspace-scroller@ori: Cinnamon 4.0 Support,992c34dd-2377-4a31-a990-901ff219d216,1300133,1300133,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,"@rbbernardino Hi,  I am using this extension on Cinnamon 4.0 without any issue. I just did fix to the metadata.json file for Cinnamon 4.0.",COMMENT
workspace-scroller@ori: Cinnamon 4.0 Support,09748e7b-3e63-4528-8288-5623285c78ff,432683,1300133,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,3,"@kelebek333 I edited my comment, you are right: it's working! :+1: ",COMMENT
"Flipper@connerdev: works, but no settings reachable in LM19.1",514c4edc-f4e7-49cc-967f-62fea00d9d0c,1300133,9968138,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"Hi @Mintulix,  You can try to edit extension's metadata.json file.   First quit extensions module of Cinnamon settings. Then open metadata.json  `xed ~/.local/share/cinnamon/extensions/Flipper@connerdev/metadata.json`  Add 3.8 and 4.0 lines to metadata.json file, like following link.  https://paste2.org/II7OgvZw ",COMMENT
"Flipper@connerdev: works, but no settings reachable in LM19.1",807db8be-0fbf-4ef9-8629-10d5813253e6,9968138,9968138,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,2,"Thanks for your comment, it works now. I tried this before including restarting Cinnamon, but I think I didn't close the extension window. So the whole workaround is this: 1. Deinstall extension (e.g. Flipper), just quit or remove doesn't work (minus sign is deactivated). 2. Install extension again, but don't activate it yet. 3. Add actual Cinnamon version (4.0) to metadata.json (that wasn't necessary before) 4. Close and reopen extension/settings window (and restart Cinnamon?) 5. Activate extension  Should I close this issue? For me it's closed, but for others...?",COMMENT
gTile@shuairan : keyboard support for multi monitor grid,3632076b-a06c-4cbb-83a9-2bfc7a9493e7,5958984,5958984,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,6,"I just tested gTile under Gnome 3, which the Cinnamon version is forked from, and it works properly as expected above so it is likely something minor keeping it from working on the Cinnamon version.",COMMENT
gTile@shuairan : keyboard support for multi monitor grid,5c08f6ba-52c2-45e6-9c08-dcff32c12ddd,6859057,5958984,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,6,"This is currently unmaintained. I fixed it up so it would load without errors, but there are still a number of code quality issues affecting it.   I would be wary of calling multi-monitor bugs minor, needles are minor, until they're in a haystack.",COMMENT
gTile@shuairan : keyboard support for multi monitor grid,c9bb1737-98d4-432e-b4e1-51ca28e7ba0d,6859057,5958984,2010-09-12T04:00:00+00:00,2010-09-12T04:00:00+00:00,,,open,,6,"Gave this a quick test - not reproducing any issues on my tri-monitor setup. Its supposed to appear on all three screens, the monitor you make the grid adjustment on is the one where it is tiled. Are you seeing something different?  Also from the issue template  ```  * Snippet or attachment of ~/.xsession-errors ```",COMMENT
