Betweenness centrality oscillation,Alter Nudges,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Alter ART [h],Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,Ego ART [h],avg emotionality,average influence per message,Contribution index oscillation,Ego Nudges,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,,0.009189889371236522,1,1,0.709669517316514,0.0,,1.0,,8.553854854374952,0.0,0,1,1.0,,0.2675243031900233,0.0,0,,1,,21,1447683,schi2m,1970-01-01T01:00:00.000+01:00,2017-02-06T19:28:46.000+01:00
2,,0.009247027741083224,10,0,0.6563823829754426,0.0,,3.0,,5.7485874637408605,,16,26,-0.23076923076923078,,0.28466232924600404,,0,,,,359,170947,orschiro,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,106,25245765,VikSin,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009195362034539531,1,0,0.5,0.0,,2.0,,0.0,,2,3,-0.3333333333333333,,0.5,,0,,,,291,6911132,desperateCoder,1970-01-01T01:00:00.000+01:00,2019-12-01T19:10:29.000+01:00
0,,0.00910320432792343,1,1,0.32960268097994116,0.0,,1.0,,6.592054876033656,0.0,0,1,1.0,,0.24651848186925995,0.0,0,,1,,44,6363225,Marfisc,1970-01-01T01:00:00.000+01:00,2018-05-14T14:15:36.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,352,8038546,ArionWT,1970-01-01T01:00:00.000+01:00,2018-04-15T12:37:16.000+02:00
0,,0.009168223809440651,3,1,0.22142189426186876,0.0,,2.0,,10.302517466757264,0.0,2,5,0.2,,0.33989180734942204,0.0,0,,1,,285,8332823,D1ceWard,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,295,4173076,ToreMartinHagen,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009247027741083224,9,1,0.4918431944282539,0.0,,2.0,,6.05670719497443,0.0,4,13,0.38461538461538464,,0.23317941694968403,0.0,3,,5,,0,1824502,zeripath,1970-01-01T01:00:00.000+01:00,2019-07-25T19:13:51.000+02:00
0,,0.009229957805907173,1,1,0.5,0.0,,1.0,,0.0,,0,1,1.0,,0.5,,0,,,,0,7595324,fthuin,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.009249471458773785,32,4,0.5514744068438575,122.2683041373831,,5.0,,6.2270917264368535,0.0,27,59,0.0847457627118644,,0.2599464687743309,0.0,6,,8,,165,22504894,xearonet,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,194,19363963,Gene-W,1970-01-01T01:00:00.000+01:00,2019-01-06T15:13:48.000+01:00
0,,0.009247190615422552,5,3,0.5659964715351323,6.3817385229149926,,4.0,,5.507149370945581,0.0,1,6,0.6666666666666666,,0.27149360031496667,0.0,1,,1,,1,1403669,gfreeau,1970-01-01T01:00:00.000+01:00,2018-09-21T19:54:53.000+02:00
0,,0.009229957805907173,1,1,0.5,0.0,,1.0,,0.0,,0,1,1.0,,0.5,,0,,,,0,772445,wrouesnel,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.009229957805907173,1,1,0.4901894990569622,0.0,,1.0,,6.146739434326166,0.0,0,1,1.0,,0.2691673987202334,0.0,0,,1,,0,9714796,swalladge,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
1,,0.009241330751628234,2,0,0.5,12.412109490830133,,5.0,,0.0,,8,10,-0.6,,0.5,,0,,,,336,9586713,ratek1,1970-01-01T01:00:00.000+01:00,2017-07-28T17:34:55.000+02:00
0,,0.0019011406844106464,1,0,0.5,0.0,,1.0,,0.0,,1,2,0.0,,0.5,,0,,,,86,1089931,bauno,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:44.000+01:00
0,,0.00922801096815018,1,0,0.5,0.0,,3.0,,0.0,,3,4,-0.5,,0.5,,0,,,,1,28846249,kroutal,1970-01-01T01:00:00.000+01:00,2017-05-25T20:13:03.000+02:00
