Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,105,386788,XRevan86,1970-01-01T01:00:00.000+01:00,2016-02-10T16:49:55.000+01:00
0,0.018329938900203666,2,1,0.754088276044236,0.0,1.0,,6.6591973078160125,0.0,0,2,1.0,0.28916913484563733,0.0,0,2,,11,737370,nmjbhoffmann,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,118,8469953,Yvour,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01859931113662457,2,0,0.6126594136479087,192.0,3.0,,7.229154231921923,,5,7,-0.42857142857142855,0.224269978364451,,0,,,11,14021202,davidhealey,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,131,49797363,Fischblick,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01888845705402254,1,1,0.3364146339341286,0.0,1.0,,5.225834313638676,0.0,0,1,1.0,0.3635554927586459,0.0,0,1,,7,2142748,lsh-0,1970-01-01T01:00:00.000+01:00,2017-02-10T11:33:38.000+01:00
0,0.019150445267554574,9,0,0.4150683394035906,383.0,5.0,,6.411937579364892,,27,36,-0.5,0.1926859747095734,,0,,,18,3743601,dullroar,1970-01-01T01:00:00.000+01:00,2018-02-12T03:41:25.000+01:00
0,0.019156484036263303,8,1,0.3215226301723013,302.16666666666663,3.0,,6.274466423866029,0.0,12,20,-0.2,0.27675686762982477,0.0,1,1,,147,179677,stuaxo,1970-01-01T01:00:00.000+01:00,2019-06-04T11:31:02.000+02:00
0,0.018878185208203852,1,1,0.3674848366803066,0.0,1.0,,4.344852913370191,0.0,0,1,1.0,0.11428388063562303,0.0,0,1,,4,304300,deutrino,1970-01-01T01:00:00.000+01:00,2016-11-18T20:35:27.000+01:00
0,0.01914441030489246,2,1,0.35272711752485114,382.0,2.0,,5.781384247283738,0.0,2,4,0.0,0.16624094969619663,0.0,0,1,,49,2348129,rebelxt,1970-01-01T01:00:00.000+01:00,2019-05-05T11:21:18.000+02:00
0,0.01888845705402254,1,1,0.8427106775855215,0.0,1.0,,5.599297367338675,0.0,0,1,1.0,0.19817788512203324,0.0,0,1,,34,5138986,monsta,1970-01-01T01:00:00.000+01:00,2016-03-03T16:21:03.000+01:00
1,0.01916857300623176,6,0,0.5594419199594832,368.52380952380963,6.0,,6.852294775584448,,12,18,-0.3333333333333333,0.15761902005188902,,0,,,23,651970,ali1234,1970-01-01T01:00:00.000+01:00,2017-02-16T17:54:48.000+01:00
0,0.004098360655737705,2,0,0.5,0.0,1.0,,0.0,,2,4,0.0,0.5,,0,,,57,19782228,shlyakpavel,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018885521100489626,1,1,0.45441596287436875,0.0,1.0,,5.539073002061149,0.0,0,1,1.0,0.23913264192930805,0.0,0,1,,15,8533116,MishraShivendra,1970-01-01T01:00:00.000+01:00,2019-06-15T15:53:40.000+02:00
0,0.01888845705402254,1,1,0.2382222238416647,0.0,1.0,,7.346557758066588,0.0,0,1,1.0,0.21342735614255903,0.0,0,1,,7,1101856,Shmoopty,1970-01-01T01:00:00.000+01:00,2017-02-10T11:33:38.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,112,29017677,smurphos,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,2,0,0.5,0.0,1.0,,0.0,,2,4,0.0,0.5,,0,,,146,429925,pirate486743186,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
1,0.019179163378058407,20,2,0.39640798048847087,930.0146686646691,9.0,,6.266526106210048,0.0,36,56,-0.2857142857142857,0.2849925191577736,0.0,1,4,,0,6215449,GitHubIsToxic,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019153464175928114,6,0,0.15151295845971266,947.0,5.0,,5.986977954175256,,14,20,-0.4,0.23941355137425918,,0,,,17,31071746,caltrop-3,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,9,0,0.3296071564127861,0.0,3.0,,6.103894563016903,,16,25,-0.28,0.2264564903772708,,0,,,135,6096063,Piiit,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,54,12681399,mdindoffer,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018866459627329194,1,1,0.8722234089541793,0.0,1.0,,6.630747812203547,0.0,0,1,1.0,0.20425941651613694,0.0,0,1,,13,34136215,franckgaga,1970-01-01T01:00:00.000+01:00,2018-07-06T20:46:01.000+02:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,74,33253303,jorivaa,1970-01-01T01:00:00.000+01:00,2018-02-12T03:09:50.000+01:00
0,0.01888845705402254,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,48,1151423,unxed,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01885621168619539,3,1,0.31329044180355087,0.0,2.0,,6.455275099284425,0.0,2,5,0.2,0.21350101938687302,0.0,3,1,,42,15708310,nstommel,1970-01-01T01:00:00.000+01:00,2017-02-10T11:43:54.000+01:00
