Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Add .gitignore file,c1cb2e1e-35c5-4a77-97f4-9b6a168eae5f,4095021,4095021,2019-12-06T21:21:41.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
[2.6] Add settings widget to the prefs dialog for the implicit newline setting,f76887e8-f1bf-46cb-b00c-4fab052fba29,4095021,4095021,2019-12-06T21:15:38.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Xed segfaults on launch if using a user modified ~/.config/xed/accels,7fe45bf8-6988-41c0-bbbc-cac5875e107a,29017677,29017677,2019-11-28T05:55:11.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
[feature request] Request root permissions if necessary,97309485-af99-4fdf-b5dd-aa3a846831e1,12870528,12870528,2019-11-09T13:49:19.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,1,,CREATION
hotkeys for changing text size not working,be0fe5a4-c1c5-4b3c-b973-26b89bbd0ab8,858678,858678,2019-11-01T05:54:42.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,1,,CREATION
syntax highlighting - jump cursor to search box,6fdb67c0-98fb-4852-bce4-a54f9f4a94ca,28591861,28591861,2019-10-27T11:00:13.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Xed Crashes with GDK-Error,3015f4b2-f7db-4fd7-aa26-cc714a5eae0a,8835007,8835007,2019-10-22T00:00:35.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,,CREATION
Memory leak : unreleased memory after closing a document,6ae7f3d4-d694-425c-bfb2-d799c734791a,25536748,25536748,2019-10-17T16:22:38.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Not an issue; small improvement!,6e2fb2d1-2e30-4c0a-ab70-b898b6285ce2,39628502,39628502,2019-10-11T18:47:17.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Selected Text Should Not Change Font Size With Zooming Shortcuts,5672f5e0-68d6-4ef1-9dec-3c66b5474c3b,25795277,25795277,2019-09-29T23:10:01.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Focus numbering is not properly set up in the search and replace panel,d93426b8-d62a-4b59-8834-31586346495b,12681399,12681399,2019-09-24T13:39:17.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Comment Block,ce19693a-660d-4e19-8a31-87d51632948a,18631108,18631108,2019-08-15T18:54:55.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,,CREATION
PVS studio selective report,b3468822-71f2-4e71-b6cb-13dba6c111f9,19782228,19782228,2019-07-27T18:45:47.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
"File->Revert should keep the cursor position, if possible",84712f4b-4a87-48f3-97a7-cab893c88fdc,21648,21648,2019-06-27T16:00:13.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,0,,CREATION
Bug (I don't know whose): weird xed window-cursor interaction,8aa98b3f-8967-44e5-9a6b-4875a7409605,5296986,5296986,2019-06-12T02:31:11.000+02:00,2019-12-08T17:06:42.000+01:00,,,open,,1,,CREATION
