Real_Duration,Status,sentiment,complexity,Comment_Body,Edge_type,Count_Comments,language[Comment_Body],Planned_Duration,emotionality,Count_Subtasks,keywords[Comment_Body],sentimentWords[Comment_Body],Uuid,Name,SourceUuid,TargetUuid,Starttime,Endtime
,open,,,,CREATION,2,ro,,,,,,56763fdb-fc3b-45f2-a843-199fee494116,Watermark extension UUID: watermark@germanfr,38849451,38849451,2019-11-25T12:42:42.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,66bb193c-6b97-4f08-9ce2-add7a1368143,gTile@shuairan - Upgraded from Mint 19.1 to 19.2 and gTile stopped working,11470532,11470532,2019-08-02T23:07:11.000+02:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,0e653eb1-0ebf-423f-91d3-ee83b8fa2e0e,gTile@shuairan: Current version does not work on cinnamon 3.6.7,49053218,49053218,2019-03-29T06:12:48.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,3,ro,,,,,,284890b7-ea6b-4a18-accb-34f6b63584d4,DesktopCube@yare: background behind cube should be custom image or black,73755,73755,2019-03-07T16:56:23.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,0,ro,,,,,,c4525f29-216a-4661-a55d-a82dce5e69f2,wobbly-windows@mecheye.net : Some tearing affect and hickups,2259575,2259575,2018-12-31T20:41:35.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,0,ro,,,,,,0f7f0139-ae3b-4a41-adea-6eb07951eb69,Flipper@connerdev: transition has visual glitch,9968138,9968138,2018-12-27T23:46:05.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,3,ro,,,,,,d4009300-86fe-458b-89e8-875d32d03323,workspace-scroller@ori: Cinnamon 4.0 Support,1300133,1300133,2018-12-25T13:17:23.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,67b8e796-8a78-49e2-8895-0d76511acaab,"Flipper@connerdev: works, but no settings reachable in LM19.1",9968138,9968138,2018-12-24T02:06:43.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,6,ro,,,,,,8f6afa2c-4d55-4701-8216-dfaa379811fc,gTile@shuairan : keyboard support for multi monitor grid,5958984,5958984,2018-11-19T04:15:31.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,0,ro,,,,,,3ae3b103-c75f-459f-93d5-968f4a963c56,desktop-scroller@ccadeptic23  blocks mouse clicks on screen border,17616347,17616347,2018-11-11T20:46:22.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,228e2339-1992-43fa-9174-b0c398aff8ac,workspace-grid@daemonl not compatible with 3.6.7,17271565,17271565,2018-05-31T11:45:02.000+02:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,8,ro,,,,,,072bce4c-d395-4ccf-b14e-547ffb14db5f,Extensions licensing,10391266,10391266,2018-04-18T19:51:27.000+02:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,3,ro,,,,,,0ce93deb-872e-4976-b3ba-3c938dc0f04b,spice workspace-scroller: works on only one monitor in extended display mode,2837468,2837468,2018-02-12T23:53:19.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,8080c1f9-c826-4e26-aaaa-61ec35931f07,smart-panel@mohammad-sn: Doesn't work with a second panel,13596575,13596575,2018-01-13T03:19:00.000+01:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,8d4d557a-88f3-43bc-af93-36323fe8bf2a,CinnaDockP2@norbusan: does not work,8415124,8415124,2017-10-10T16:09:37.000+02:00,2019-12-08T19:50:12.000+01:00
,open,,,,CREATION,2,ro,,,,,,28be8117-d4d1-4200-a2fd-b9f17a172a90,[Request] Can we ask for requests here? Also a bug. (opacify@anish.org),19552720,19552720,2017-01-24T17:03:43.000+01:00,2019-12-08T19:50:12.000+01:00
,closed,,,,CREATION,0,ro,,,,,,36b9a8f7-abb8-4915-ac5b-f7d17bdc1455,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2019-11-28T21:51:39.000+01:00,2019-11-30T15:13:26.000+01:00
,closed,,,,CREATION,0,ro,,,,,,dabf013f-5da8-471c-8e58-3aa4b8e57205,Watermark nl.po,3099270,3099270,2019-11-27T22:04:43.000+01:00,2019-11-27T23:18:47.000+01:00
,closed,,,,CREATION,0,ro,,,,,,bbb565a3-de43-4612-88a3-d48843298146,Watermark nl.po,3099270,3099270,2019-11-27T20:22:52.000+01:00,2019-11-27T21:55:08.000+01:00
,closed,,,,CREATION,0,ro,,,,,,7a1a1691-c081-4135-ba61-5905a948bad0,Update Watermark v4.2-20190710 (watermark@germanfr),10391266,10391266,2019-11-25T19:56:36.000+01:00,2019-11-25T21:45:07.000+01:00
,closed,,,,CREATION,0,ro,,,,,,019223ad-f665-4a60-b863-4a49c9cc8b5f,workspace-scroller@ori: Update da.po,7993570,7993570,2019-11-23T16:58:29.000+01:00,2019-11-23T21:02:09.000+01:00
,closed,,,,CREATION,0,ro,,,,,,65dfe734-2fcb-453f-9c4e-9531405d988d,watermark@germanfr: Update da.po,7993570,7993570,2019-11-23T16:53:05.000+01:00,2019-11-23T21:01:55.000+01:00
,closed,,,,CREATION,0,ro,,,,,,b1b4c8b5-b0bd-48b7-822e-4ecf181cf37f,transparent-panels@germanfr: Update da.po,7993570,7993570,2019-11-23T16:46:11.000+01:00,2019-11-23T21:01:37.000+01:00
,closed,,,,CREATION,0,ro,,,,,,3a03c057-40c7-4ea5-a72b-6e226585e0e5,DesktopCube@yare: Update da.po,7993570,7993570,2019-11-23T16:34:34.000+01:00,2019-11-23T21:01:23.000+01:00
,closed,,,,CREATION,0,ro,,,,,,2967e3fd-2ca9-4756-8a1f-49863379e7bb,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2019-11-10T21:17:36.000+01:00,2019-11-23T21:01:05.000+01:00
,closed,,,,CREATION,0,ro,,,,,,1d302a6d-026f-41bc-a950-5847e05d9ed0,Watermark nl.po,3099270,3099270,2019-11-10T09:17:55.000+01:00,2019-11-10T10:53:57.000+01:00
,closed,,,,CREATION,0,ro,,,,,,e1901377-231d-46c6-974e-ad3900d9e87f,Update Watermark v4.2-20190710 (watermark@germanfr),10391266,10391266,2019-10-27T18:11:57.000+01:00,2019-10-27T19:53:02.000+01:00
,closed,,,,CREATION,0,ro,,,,,,d76b1881-e9f8-4a85-9055-19d9e87c7aae,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2019-10-27T18:11:46.000+01:00,2019-10-27T19:53:37.000+01:00
,closed,,,,CREATION,3,ro,,,,,,3922a9f1-cb38-493a-a5cd-7f2351b06149,Added Italian translation to all extensions,1354519,1354519,2019-10-21T21:28:55.000+02:00,2019-10-27T19:58:10.000+01:00
,closed,,,,CREATION,0,ro,,,,,,bcecdaf9-5790-4217-956a-91a5180342ed,Update Watermark v4.2-20190710 (watermark@germanfr),10391266,10391266,2019-10-19T19:00:58.000+02:00,2019-10-19T19:04:19.000+02:00
,closed,,,,CREATION,7,ro,,,,,,f31e88a0-28fb-457d-8a6e-b661a3f7a793,[watermark@germanfr] Updated fr.po - French translation,33965039,33965039,2019-10-15T09:27:50.000+02:00,2019-10-19T19:05:08.000+02:00
,closed,,,,CREATION,0,ro,,,,,,f415ada1-7662-47b6-8ed4-77bf938188f2,gTile@shuairan: Add Cinnamon 4.2 to compatibility list,150479,150479,2019-09-27T21:01:01.000+02:00,2019-09-27T21:32:22.000+02:00
,closed,,,,CREATION,0,ro,,,,,,83b14762-ffa2-4449-a642-e37407975612,cinnamon-maximus@fmete: remove some hacks,20357500,20357500,2019-09-06T13:19:07.000+02:00,2019-09-09T21:59:16.000+02:00
,closed,,,,CREATION,0,ro,,,,,,5584d7e9-9db1-4972-8a9a-d9c6dfdfe564,maximus@fmete: update to make the extension working,20357500,20357500,2019-08-30T16:05:13.000+02:00,2019-08-30T18:05:15.000+02:00
,closed,,,,CREATION,1,ro,,,,,,606f05b5-050f-4955-870d-cdc54b9e4526,Transparent Panels (transparent-panels@germanfr) will not load with Cinnamon 4.2.3,44762859,44762859,2019-08-29T03:41:45.000+02:00,2019-08-29T03:46:58.000+02:00
,closed,,,,CREATION,0,ro,,,,,,dd0cc44d-8e38-4c6c-91fd-a470a65f542c,[DesktopCube@yare] - Compatibility with Cinnamon 4.2,33965039,33965039,2019-08-03T12:06:15.000+02:00,2019-08-04T18:25:56.000+02:00
,closed,,,,CREATION,0,ro,,,,,,2e5c47c2-4b5a-4e95-9acc-77f376427a82,[Win7AltTab@entelechy] Enable showing windows from all workspaces,12522078,12522078,2019-07-15T03:31:34.000+02:00,2019-07-26T20:47:37.000+02:00
,closed,,,,CREATION,2,ro,,,,,,b159d60f-eba4-46ca-9f96-0d69a54bea5a,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2019-07-10T18:33:11.000+02:00,2019-07-23T18:39:39.000+02:00
,closed,,,,CREATION,0,ro,,,,,,89a58407-d579-4f05-9e63-e55f54398a53,Update Watermark v4.2-20190710 (watermark@germanfr),10391266,10391266,2019-07-10T18:26:16.000+02:00,2019-07-23T18:40:16.000+02:00
,closed,,,,CREATION,2,ro,,,,,,43f7de49-1318-448e-a492-59ef2c652bdc,wobbly-windows@mecheye.net : doesn't work in Linux Mint 19.1,6375934,6375934,2019-07-02T18:07:25.000+02:00,2019-07-05T11:55:07.000+02:00
,closed,,,,CREATION,0,ro,,,,,,bf7bddc2-43d9-429b-8c8e-45f6da5cd6ba,Update vulnerable NPM dependencies,6859057,6859057,2019-06-07T15:27:55.000+02:00,2019-06-07T15:28:26.000+02:00
,closed,,,,CREATION,0,ro,,,,,,5b5b3364-5b3f-45e6-9c09-32c72f1111ed,workspace-names-updater@workspace-manager.gitlab.io: Initial Commit,47278150,47278150,2019-04-14T23:39:17.000+02:00,2019-06-05T12:38:26.000+02:00
,closed,,,,CREATION,0,ro,,,,,,bc757bda-0123-4fb8-b529-4931d187b3a3,[desktop-icons-per-workspace@cardsurf] Use mktemp command,3139729,3139729,2019-04-13T12:47:07.000+02:00,2019-04-15T01:01:57.000+02:00
,closed,,,,CREATION,0,ro,,,,,,e6561233-b6b4-4fc7-babd-c174ae77eae3,Workspace grid nl.po,3099270,3099270,2019-02-28T19:20:11.000+01:00,2019-03-02T01:35:42.000+01:00
,closed,,,,CREATION,2,ro,,,,,,48e3cc7a-27b2-44bc-9cf5-23d246ee6690,DesktopCube@yare: Button to access to the Cinnamon Settings Workspaces module.,33965039,33965039,2019-02-13T17:04:16.000+01:00,2019-02-16T01:14:44.000+01:00
,closed,,,,CREATION,2,ro,,,,,,b8f00bad-7189-46a4-9b03-695c37ce5f4f,DesktopCube@yare: workspace 1--> 4 or 4-->1,9275768,9275768,2019-02-12T18:25:54.000+01:00,2019-02-16T04:18:04.000+01:00
,closed,,,,CREATION,0,ro,,,,,,7e80e60f-2094-4cf2-a329-86e56da65823,gTile@shuairan: Update version compatibility,6859057,6859057,2019-01-08T12:50:43.000+01:00,2019-01-08T12:51:54.000+01:00
,closed,,,,CREATION,3,ro,,,,,,a3cfba64-1304-49b7-bb76-8c9f5c6d5f8c,gTile after recent commit not working in Cinnamon 3.2.7,21959071,21959071,2019-01-08T11:50:59.000+01:00,2019-01-08T12:51:53.000+01:00
