Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.04962610469068661,17,0,0.9762111065309769,60.125,5.0,,3.732024139307575,,21,38,-0.10526315789473684,0.5428958397996312,,0,,,6,14066437,giwhub,1970-01-01T01:00:00.000+01:00,2017-04-30T19:59:47.000+02:00
0,0.04734111543450065,1,1,0.6597306459695312,0.0,1.0,,7.3187565072530525,0.0,0,1,1.0,0.3448063312409899,0.0,0,1,,3,6665146,CubicCode,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
6,0.049693669162695714,59,7,0.48460243876491155,127.02857142857142,8.0,,6.1279138698782205,0.0,55,114,0.03508771929824561,0.24998820202330807,0.0,5,11,,5,3822556,Odyseus,1970-01-01T01:00:00.000+01:00,2018-10-13T16:19:27.000+02:00
0,0.04899328859060403,6,0,0.41156836119646584,10.95,4.0,,5.585812116498755,,11,17,-0.29411764705882354,0.21517683835494025,,0,,,23,6179632,guitarrist,1970-01-01T01:00:00.000+01:00,2017-07-01T02:50:42.000+02:00
4,0.0497275204359673,13,0,0.6069869557415624,115.19999999999999,5.0,,7.356968597525151,,25,38,-0.3157894736842105,0.25804996155457727,,0,,,26,1978777,muzena,1970-01-01T01:00:00.000+01:00,2017-05-11T13:01:55.000+02:00
0,0.04879679144385027,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,38,6311940,mdinsmore,1970-01-01T01:00:00.000+01:00,2017-09-27T17:36:52.000+02:00
0,0.04670505438259757,1,1,0.48018903177706235,0.0,1.0,,6.648472533941968,0.0,0,1,1.0,0.2274770670898816,0.0,0,1,,11,751306,iplayfast,1970-01-01T01:00:00.000+01:00,2018-05-25T20:28:23.000+02:00
0,0.046556122448979595,2,0,0.8808504408615488,0.0,2.0,,5.355950195609793,,3,5,-0.2,0.26314974370039373,,0,,,47,19552720,RaitaroH,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04661558109833972,1,1,0.25005044766791945,0.0,1.0,,5.449138633812966,0.0,0,1,1.0,0.39739048968452495,0.0,0,1,,9,25767509,blogodorio,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,24,1271348,besser82,1970-01-01T01:00:00.000+01:00,2017-11-16T11:19:14.000+01:00
0,0.04786885245901639,1,1,7.058902435880912E-4,0.0,1.0,,5.125456208926718,0.0,0,1,1.0,0.39896660756218055,0.0,0,1,,6,1665328,daemonl,1970-01-01T01:00:00.000+01:00,2017-04-29T19:05:16.000+02:00
0,0.048312375909993384,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,39,13958712,iwanttobefreak,1970-01-01T01:00:00.000+01:00,2018-11-19T05:51:09.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,43,3130417,andreabellitto,1970-01-01T01:00:00.000+01:00,2017-02-03T12:10:57.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,15,17616347,lgarczyn,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
7,0.05072967338429465,74,10,0.4044990647216382,558.5833333333333,11.0,,5.607934696145844,0.0,75,149,-0.006711409395973154,0.26282030733777084,0.0,13,16,,25,10391266,germanfr,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
1,0.04896042924211938,4,0,0.39763821663345533,54.0,4.0,,6.192905101018884,,10,14,-0.42857142857142855,0.2712884944614553,,0,,,31,12385366,mainmachine,1970-01-01T01:00:00.000+01:00,2018-10-12T13:36:40.000+02:00
0,0.047310434219053794,1,1,0.18303900379465432,0.0,1.0,,5.285131483875995,0.0,0,1,1.0,0.3453001578967151,0.0,0,1,,1,2833940,jeroenst,1970-01-01T01:00:00.000+01:00,2018-10-13T16:19:27.000+02:00
0,0.049059139784946235,1,0,0.5,60.57142857142857,4.0,,0.0,,4,5,-0.6,0.5,,0,,,3,2837468,brub2,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.047310434219053794,1,1,0.24607892303734444,0.0,1.0,,6.437821505457758,0.0,0,1,1.0,0.27200406485788786,0.0,0,1,,1,1138515,clefebvre,1970-01-01T01:00:00.000+01:00,2017-05-08T10:15:49.000+02:00
