Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Watermark extension UUID: watermark@germanfr,56763fdb-fc3b-45f2-a843-199fee494116,38849451,38849451,2019-11-25T12:42:42.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,2,,CREATION
gTile@shuairan - Upgraded from Mint 19.1 to 19.2 and gTile stopped working,66bb193c-6b97-4f08-9ce2-add7a1368143,11470532,11470532,2019-08-02T23:07:11.000+02:00,2019-12-08T19:50:12.000+01:00,,,open,,2,,CREATION
gTile@shuairan: Current version does not work on cinnamon 3.6.7,0e653eb1-0ebf-423f-91d3-ee83b8fa2e0e,49053218,49053218,2019-03-29T06:12:48.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,2,,CREATION
DesktopCube@yare: background behind cube should be custom image or black,284890b7-ea6b-4a18-accb-34f6b63584d4,73755,73755,2019-03-07T16:56:23.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,3,,CREATION
wobbly-windows@mecheye.net : Some tearing affect and hickups,c4525f29-216a-4661-a55d-a82dce5e69f2,2259575,2259575,2018-12-31T20:41:35.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,0,,CREATION
Flipper@connerdev: transition has visual glitch,0f7f0139-ae3b-4a41-adea-6eb07951eb69,9968138,9968138,2018-12-27T23:46:05.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,0,,CREATION
workspace-scroller@ori: Cinnamon 4.0 Support,d4009300-86fe-458b-89e8-875d32d03323,1300133,1300133,2018-12-25T13:17:23.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,3,,CREATION
"Flipper@connerdev: works, but no settings reachable in LM19.1",67b8e796-8a78-49e2-8895-0d76511acaab,9968138,9968138,2018-12-24T02:06:43.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,2,,CREATION
gTile@shuairan : keyboard support for multi monitor grid,8f6afa2c-4d55-4701-8216-dfaa379811fc,5958984,5958984,2018-11-19T04:15:31.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,6,,CREATION
desktop-scroller@ccadeptic23  blocks mouse clicks on screen border,3ae3b103-c75f-459f-93d5-968f4a963c56,17616347,17616347,2018-11-11T20:46:22.000+01:00,2019-12-08T19:50:12.000+01:00,,,open,,0,,CREATION
" workspace-grid@daemonl not compatible with 3.6.7",228e2339-1992-43fa-9174-b0c398aff8ac,17271565,17271565,2018-05-31T11:45:02.000+02:00,2019-12-08T19:50:12.000+01:00,,,open,,2,,CREATION
Extensions licensing,072bce4c-d395-4ccf-b14e-547ffb14db5f,10391266,10391266,2018-04-18T19:51:27.000+02:00,2019-12-08T19:50:12.000+01:00,,,open,,8,,CREATION
