Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
[WIP] Add .gitignore file,51a79649-a1d8-43f0-b91d-57e201de5a8b,4095021,4095021,2019-12-06T21:21:41.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
[Next] Add settings widget to the prefs dialog for the implicit newline setting,b2d681b2-b7cc-4d2c-8f0a-409eaae0c022,4095021,4095021,2019-12-06T21:15:38.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Xed segfaults on launch if using a user modified ~/.config/xed/accels,290cc2cf-6446-4dc1-a0c3-97506444586a,29017677,29017677,2019-11-28T05:55:11.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
[feature request] Request root permissions if necessary,c9fb0ce7-183a-4105-9ee7-05d11ad749ba,12870528,12870528,2019-11-09T13:49:19.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
hotkeys for changing text size not working,bc99677e-227c-44f0-99ae-a54dcf56e304,858678,858678,2019-11-01T05:54:42.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
syntax highlighting - jump cursor to search box,5114b590-408c-429d-ae09-291869bceaed,28591861,28591861,2019-10-27T11:00:13.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Xed Crashes with GDK-Error,7a5408ca-0671-4e19-a269-5fd238477109,8835007,8835007,2019-10-22T00:00:35.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
Memory leak : unreleased memory after closing a document,322f482a-3a59-475b-9cc6-09d6972cba9f,25536748,25536748,2019-10-17T16:22:38.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Not an issue; small improvement!,3efd3009-c4ba-4e75-a0fe-75682494a397,39628502,39628502,2019-10-11T18:47:17.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Selected Text Should Not Change Font Size With Zooming Shortcuts,2f76ea9a-a9c1-4244-bafd-0020ffb6dc8f,25795277,25795277,2019-09-29T23:10:01.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Focus numbering is not properly set up in the search and replace panel,4f6b2e51-99a0-4d65-a62c-077a822c0ffd,12681399,12681399,2019-09-24T13:39:17.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Comment Block,0c1a62d9-2914-4034-9f02-151a421c7af7,18631108,18631108,2019-08-15T18:54:55.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
PVS studio selective report,28d156d1-94f8-4e3f-97f5-4465849a5b6d,19782228,19782228,2019-07-27T18:45:47.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"File->Revert should keep the cursor position, if possible",48aa58db-6461-41d2-b710-641f4191e18b,21648,21648,2019-06-27T16:00:13.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Bug (I don't know whose): weird xed window-cursor interaction,aaa21e05-deda-4209-a7c1-e940c469dc6e,5296986,5296986,2019-06-12T02:31:11.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
FR: use different highlight colors for brace matching and found strings,78c3d1b1-0232-4de1-9ee2-f431a8354e4a,5296986,5296986,2019-06-12T02:13:34.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
FR: make Keyboard Shortcuts window non-modal,321d1613-c3b0-47ca-8b00-eb0cada75b81,5296986,5296986,2019-06-12T02:09:47.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Feature Request: Join Lines,9e387ebb-6488-4e7a-8765-0f3feddfb210,36276704,36276704,2019-05-28T17:28:30.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"When saving, actually creates a new file (new inode) and updated creation time",4222e7f2-bff3-4d37-bcc0-5a79a99dc0b7,50881474,50881474,2019-05-21T19:02:24.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Notify that Privacy Settings aren't allowing to list recently opened files.,af8b432c-9d91-464b-baeb-9a470609a93e,4926997,4926997,2019-04-25T23:01:25.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Search works too hard - searching all open docs rather than just the one in focus,61c2cceb-883c-4335-a800-72f29fd0ab8e,1708690,1708690,2019-04-20T14:31:20.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
xed crashes if you open an unmounted network share,76e6ac3e-e235-4213-be45-a7a7d059c219,49797363,49797363,2019-04-20T00:29:31.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Two windows/tabs being opened with --wait option,55aa09ff-d361-4556-9004-8cc325d6d55d,27283110,27283110,2019-04-04T13:21:43.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Xed won't open file,1a2b5c7e-1cd8-4287-9de3-24a0cf39ac34,1978777,1978777,2019-03-13T19:51:03.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,5,,CREATION
Feature request: Multiple edit cursors,90715a4d-be43-451b-8073-3047a3f97fec,14021202,14021202,2019-03-08T12:36:27.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,4,,CREATION
Search back hot key should be Shift+Enter as in other editors (or configurable),9a6463df-55c7-46dc-95bc-1901d14bc47d,1485098,1485098,2019-02-08T15:47:01.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Little feature request for xed,3a239fda-dff0-4a6a-8fa1-ba5c12b4569b,15627077,15627077,2019-01-30T12:24:34.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"Tabbed text does not preview, nor print properly",fbd17c00-1a3e-4aca-bb03-32935a8cddbb,47048470,47048470,2019-01-26T04:47:00.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Screenshots,901e15b0-a9b9-475b-902e-59d87cfeab95,11966684,11966684,2019-01-21T21:13:11.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Preferences not saving in elevated privileges,84441555-0c4a-4c64-9923-635adbe6e27d,35870988,35870988,2019-01-06T15:07:31.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"Bug: increasing tab padding with each new ""Unsaved Document"" tab",86ead826-e8d1-4398-9c4f-7077f6b614eb,46024456,46024456,2018-12-21T11:45:32.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Primary selection copy-pasting (select and middle-mouse-click) within Xed,47ab862d-5b77-44d9-8780-e8aab8b60f32,46024456,46024456,2018-12-21T09:44:04.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
Feature request: add source code comments,e2547382-c641-48f4-afed-82496b4cf1cb,6215449,6215449,2018-09-20T19:43:14.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
xed help file has broken link,69159857-ef80-4b7e-b7e1-aab5a6c312ce,3486503,3486503,2018-09-16T21:11:20.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
view zoom,ea8db626-c38f-468d-a08b-77fa1179aec4,31071746,31071746,2018-09-02T21:58:44.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,4,,CREATION
RFE: support for very large text files,6a565cf4-7a7f-47d4-9c83-dfa1ce7e9e5c,1997316,1997316,2018-08-28T09:27:36.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
feature request - list of recently opened files - that are removable from the list,d31d0757-5938-4a8e-b63a-5d616cc2088a,34676884,34676884,2018-08-27T20:43:18.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
[Suggestion] Add mint-looking dark theme to Xed,25646064-7d18-4dee-9fa1-5f30a9cdc87d,12682937,12682937,2018-07-27T00:00:01.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Allow pkexec xed,82ae28b7-0dcf-4b2e-a84c-53a95aafcf43,35854226,35854226,2018-07-16T20:54:26.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Pressing Ctrl key spike up CPU load,9d4a92c3-cfa5-445a-9ef7-4b060a3175cc,20264855,20264855,2018-07-09T04:21:36.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,3,,CREATION
First xed admin:// requires password to be entered twice,2dbba775-97ff-4b46-9254-d21ac1caf37a,21488893,21488893,2018-07-06T15:03:04.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
xed adds carriage return in front of linefeed (Windoze style) for .json files,4d97084d-7593-4b80-a745-0a044a84feb2,8131530,8131530,2018-06-27T05:45:18.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Feature Request: Split panes ( dual panes for multiple files at same time),decf355b-2f7f-4321-914b-752ffd6f9f08,20717654,20717654,2018-06-04T06:21:11.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"A file opened in cp-1251 charset cannot be saved in UTF-8 charset.  ",a36cdfd9-1f69-4466-bccd-863e8815edb3,8469953,8469953,2018-05-11T21:36:02.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Restoring open tabs between xed sessions,2b77fccc-e183-426d-903e-ceb6ffab5644,37563017,37563017,2018-05-11T06:08:38.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,2,,CREATION
"Feature Request: Display Whitespace, Newlines",0c5a652f-0fdc-49fd-a9ea-b1714ce712e5,7553595,7553595,2018-05-09T03:01:05.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
last line visibility,7ddb6979-ae84-4cbd-adb8-0390bf638a3d,23329341,23329341,2018-03-17T23:27:27.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Feature Request: highlight selected word occurances,efc548ab-8969-4540-929e-2db1ed2b3ab7,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,8,,CREATION
Feature Request: Set left and top margins,4d4d6adb-0331-4868-a8c9-4aaca265bd94,3854941,3854941,2018-02-28T09:56:56.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
context menu leaves foreground black rectangle,be96519f-f313-4ad5-9e05-4a901da148e3,5819969,5819969,2018-02-28T05:45:23.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,3,,CREATION
[feature request] Map F3 to Ctrl+G (Search Next),9ad513cb-1632-46a1-b1ca-d958e5efecbb,21488893,21488893,2018-01-30T15:37:24.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Highlight as you type in Find hangs Xed,38c35795-ea86-4d82-8895-b7e7d3482e70,3799212,3799212,2018-01-17T10:58:12.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,6,,CREATION
Bug: replace all functionnality,726cdd8b-c20c-4319-98c3-659508232285,3049832,3049832,2018-01-14T13:39:06.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"Use Ctrl-Tab and Ctrl-Shift-Tab to navigate between tabs, Ctrl-T to create new tab",5a72c4ae-0df2-4ec9-8e10-976fe6aaf533,12874678,12874678,2018-01-13T21:11:42.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,6,,CREATION
Real (hard) lines wrapping,28c3ea79-1f0f-4ebc-bfad-1f7867726a8f,6018621,6018621,2018-01-12T17:07:01.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Xed prevents system from suspending,497563ba-144e-4bae-b113-ce292cb7f835,12682937,12682937,2017-12-29T02:59:37.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Xed won't open new documents in existing editor window,8b270ae0-2dfd-4164-9d5a-e45fe918b62a,13141463,13141463,2017-12-11T22:43:27.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,4,,CREATION
Xed corrupts files by placing a linebreak at the end of file,c897dcc2-a6f7-4f3d-a361-17ed0d210cd4,6215449,6215449,2017-12-03T22:51:52.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,23,,CREATION
Feature request: vim keybindings,f4040431-6de7-42dd-832a-37a6914a79f9,411642,411642,2017-11-06T23:49:01.000+01:00,2019-12-15T11:52:00.000+01:00,,,open,,3,,CREATION
Feature request: snippets,b1bfde0d-a126-4e61-b691-96b0422e9ec6,622453,622453,2017-10-13T00:25:47.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"Feature Request: Add ""search/replace in selection only""",e6cbee37-8d39-4209-a0da-a43edc3aceab,6096063,6096063,2017-09-15T10:17:55.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
RAM not released after huge file closed,90224013-839b-448a-8579-45778fec5467,566306,566306,2017-08-29T07:07:19.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
"Feature request: Change Case, put it in Edit menu",27bdba39-6507-43b2-b0c8-f43bbd621908,30292158,30292158,2017-07-19T15:39:43.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Charset option for opened file,86ed90c5-66e3-4b56-9a8f-92613004d821,1223140,1223140,2017-07-15T12:25:11.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
triple clicking with word wrapping [bug],44f2427c-a83a-4555-934a-accbe6235fa7,429925,429925,2017-07-13T09:00:53.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,1,,CREATION
Feature request: please assign a shortcut to view -> word wrap,681c045a-97cb-4b49-8735-b3e62a9ef8c4,1500959,1500959,2017-07-07T23:38:56.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
"UI: when attempting to save file, characters outside encoding-range",23e9501e-f423-4c41-ac6e-053ecf74a9c7,24411108,24411108,2017-06-30T19:31:27.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,0,,CREATION
Feature request: Ask for highlighting to be turned on for really long documents,ef028701-5fb0-4c60-acb6-689aacd6db30,6096063,6096063,2017-06-24T11:38:19.000+02:00,2019-12-15T11:52:00.000+01:00,,,open,,3,,CREATION
