Group_Messages_Per_Day,Group_Sentiment,Group_Emotionality,Group_Complexity,Group_Influence,Group_Percentage_Activity_Increase_Monthly,Group_Activity,Group_Percentage_AWVCI_Increase_Monthly,Group_AWVCI,Group_Percentage_Betweenness_Centrality_Increase_Monthly,Group_Betweenness_Centrality,Group_Percentage_Betweenness_Oscillation_Increase_Monthly,Group_Betweenness_Oscillation,Group_Percentage_Density_Increase_Monthly,Group_Density,Gini_Degree_Centrality_Top,Gini_Degree_Centrality,Percentage_Connected_Actors,Gini_Sentiment,Gini_Sentiment_Top,Gini_complexity,Gini_complexity_Top,Gini_Contribution_Index_Top,Percentage_Isolated_Actors,Percentage_Hirable_Actors,Percentage_Closed_Issues,Percentage_Creations,Percentage_Solo_Issues,Repository_Name,Target
0.1487,0.2284,0.1507,3.6464,0,1.0535,249,0.9989,0.3406,1.5127,0.2021,1.078,26,1.0668,0.0094,0.36,0.3099,0.0989,0.2341,0.2388,0.3252,0.0474,0.425,0.4945,0.2198,0.7711,0.3775,0.4194,linuxmint_blueberry,1.66666666666667
0.2242,0.3232,0.1979,5.0305,0.0034,1.0646,555,0.9929,0.3419,1.1119,0.318,1.068,33,1.057,0.006,0.3917,0.3646,0.0318,0.1704,0.2131,0.4461,0.0511,0.141,0.4395,0.2038,0.7838,0.4036,0.4144,linuxmint_cinnamon-control-center,0.407766990291262
0.1309,0.3052,0.1697,4.3142,0.0005,1.0806,301,0.9895,0.2516,1.1526,0.2424,1.0746,23,1.0692,0.0093,0.45,0.3203,0.1071,0.177,0.2641,0.4254,0.058,0.2058,0.3929,0.2024,0.8704,0.4718,0.5141,linuxmint_cinnamon-desktop,1.08695652173913
0.0311,0.1368,0.0767,1.6136,0,1.0605,63,1.009,0.285,1.1025,0.2567,0.9891,1,1.0556,0.0272,0,0.2413,1,0.1102,0,0.5532,0,0,0.375,0.125,0.9365,0.5079,0.4688,linuxmint_cinnamon-menus,0.714285714285714
0.5549,0.3972,0.2437,5.9736,0.007,1.0586,1401,0.9922,0.3669,1.1969,0.4483,1.0405,38,1.0516,0.0035,0.7451,0.458,0.023,0.2072,0.2511,0.3378,0.1067,0.2489,0.5287,0.1293,0.6581,0.2341,0.3169,linuxmint_cinnamon-screensaver,0.560747663551402
0.1267,0.2847,0.1706,3.9381,0,1.0798,300,1.0072,0.2873,1.1283,0.4775,1.0523,27,1.0797,0.0208,0.4324,0.3633,0.3393,0.2033,0.0873,0.327,0.0172,0.3914,0.2857,0.25,0.95,0.44,0.5267,linuxmint_cinnamon-session,0.185567010309278
0.292,0.381,0.2449,6.113,0,1.0968,695,0.9988,0.321,1.3726,0.217,1.0576,42,1.0947,0.0052,0.537,0.3727,0.0331,0.1802,0.2832,0.4185,0.0777,0.1677,0.5193,0.1381,0.7741,0.3957,0.4632,linuxmint_cinnamon-settings-daemon,0.192307692307692
1.0965,0.4749,0.2631,5.4404,0.0036,1.1755,1148,0.9833,0.2843,1.6955,0.2921,1.1089,19,1.1155,0.0109,0.5137,0.3587,0.0938,0.1804,0.1549,0.2776,0.054,0.3264,0.25,0.1328,0.8937,0.4155,0.5714,linuxmint_cinnamon-spices-desklets,0.119803308001788
0.4624,0.3317,0.1904,4.5183,0,1.1467,492,0.9935,0.2804,1.6927,0.209,1.1127,21,1.1379,0.0164,0.575,0.346,0.2667,0.1684,0.267,0.326,0.0717,0.2289,0.36,0.1067,0.9004,0.4939,0.5394,linuxmint_cinnamon-spices-extensions,0.181372549019608
1.1054,0.4126,0.2052,4.5779,0.011,1.1661,1175,0.9815,0.2599,1.1758,0.5018,1.1187,16,1.1013,0.0165,0.475,0.4087,0.1183,0.1303,0.0385,0.3088,0.0331,0.6563,0.2581,0.1398,0.9515,0.5132,0.7018,linuxmint_cinnamon-spices-themes,0.164814814814815
0.0746,0.1967,0.1366,3.3073,0,1.0756,173,1.0079,0.2652,1.0517,0.3263,1.0715,15,1.0718,0.0242,0.375,0.2735,0.6316,0.1959,0.1387,0.3471,0.0946,0.05,0.3684,0.3158,0.9538,0.4624,0.5513,linuxmint_cjs,0.566037735849057
0.0233,0.1043,0.044,1.2259,0,1.0405,44,0.9991,0.3186,1.0928,0.2556,0.9891,1,1.0333,0.0322,0,0.1979,1,0.1159,0,0.5326,0,0,0.3684,0.2105,0.9773,0.5,0.5,linuxmint_folder-color-switcher,0.538461538461538
0.0403,0.0668,0.0415,0.949,0,1.0543,38,0.9999,0.3473,1.1137,0.252,0.9815,2,1.0542,0.0524,0,0.1494,1,0.1821,0,0.4091,0,0,0.2667,0,0.9474,0.4474,0.1875,linuxmint_gdebi,1.28571428571429
0.1008,0.1329,0.0765,1.9084,0,1.1382,97,0.9989,0.3216,1.6279,0.3328,1.1053,10,1.1236,0.0272,0.3,0.2405,0.625,0.1776,0.2584,0.4094,0.0693,0.3125,0.375,0.125,0.9381,0.433,0.3571,linuxmint_lightdm-settings,1.7
0.0789,0.1809,0.1064,2.7667,0,1.0549,250,1.0075,0.2999,1.13,0.2513,1.0556,11,1.0416,0.019,0,0.3055,0.5957,0.1425,0.2544,0.4211,0.1011,0,0.4043,0.1277,0.924,0.388,0.4583,linuxmint_live-installer,0.733333333333333
