Run,MSE,R2,alpha,l1_ratio
0.0,0.3647608902155185,0.041545772999233344,0.1,0.0
1.0,1.3984855859499696,0.024348279687851027,0.25,0.0
2.0,0.82227000293281,-0.9631896313528528,0.1,0.0
3.0,10.006944221404117,-0.3019538259896699,0.1,0.0
4.0,0.4268262971587876,-1.1918944988632654,0.25,0.0
5.0,9.610386978877495,-0.2407213797204097,0.1,0.0
6.0,0.4221213256586973,0.04530430875143898,0.1,0.0
0.0,0.3399989224696014,-1.0246002969038963,0.1,0.0
1.0,1.3496762638981263,0.07201633860764156,0.1,0.0
2.0,9.643134426601476,-0.2294426755578572,0.1,0.0
3.0,9.30958196943448,-0.095208951232034,0.1,0.0
4.0,0.35142399471723873,-0.3817920532615129,0.1,0.0
5.0,0.4851967157002858,0.08662116627723715,0.25,0.0
6.0,0.6511106213439015,-1.2637733304972514,0.1,0.0
0.0,0.4646859540170518,-0.19397268997428196,0.25,0.6
1.0,0.29615644226551024,-1.882728625937356,0.1,0.0
2.0,0.6609966232782754,-0.9881447454199712,0.25,0.3
3.0,0.44274043254314266,-0.056622146714666366,0.1,0.0
4.0,0.4122638713779303,-3.1926872037476093,0.25,0.5
5.0,0.6123502851506384,-0.2252318897725525,0.1,0.0
6.0,0.5288796497805895,-0.6863325129326043,0.1,0.0
0.0,0.6834795016640796,-0.4128611582729873,0.1,0.0
1.0,0.34281636268706284,-0.7169066031269662,0.1,0.0
2.0,0.832778522622015,-0.32305121647794843,0.25,0.0
3.0,1.6166200779000253,-0.03139651673761179,0.1,0.0
4.0,11.661404974381828,-0.6336401567091097,0.1,0.4
5.0,11.093624001688454,-0.2992179458476616,0.25,0.0
6.0,0.4917299692998231,-0.5542807371404488,0.1,0.0
0.0,0.4852823744703473,-0.0054669283159451965,2.0,0.0
1.0,0.3749297908917795,-0.08047143366636123,0.1,0.0
2.0,0.330393651974937,0.03487137534434548,0.25,0.0
3.0,0.42488509419925896,-0.05766189377289965,0.1,0.0
4.0,0.4674967725036569,-10.377287450408275,0.1,0.0
5.0,0.4865292377176056,-1.5264069281141626,0.1,0.0
6.0,1.555197742752555,-0.09711971274861941,0.1,0.0
7.0,0.47951952472059317,-0.005890955840522238,0.25,0.6
8.0,1.3123859907389814,-0.06388508352926814,0.1,0.0
9.0,0.3174380995103103,0.13734846933724076,0.1,0.0
10.0,0.5985287179449579,-0.013347251574919339,0.25,0.0
11.0,0.8030669526646896,-0.8417976115072217,0.1,0.0
12.0,0.7851408666113975,-0.09309469404489668,0.1,0.0
13.0,1.6808491005142827,-0.2777276244632898,0.1,0.0
14.0,0.4305565822053038,-0.039401993832002935,0.1,1.0
15.0,1.5924653138246039,-0.014858632837926544,0.1,1.0
16.0,1.4180146586422082,0.01464034405793424,0.1,0.0
17.0,0.3049200273198484,0.2710448062472858,0.1,0.0
18.0,0.43377634233631157,-3.762171810332834,0.25,0.0
19.0,0.8566439849195367,-0.0010898174619571321,0.1,0.0
20.0,0.2922411182673575,-3.6118816026788627,0.1,0.0
21.0,0.21565011401799827,-0.28409676030798026,0.1,0.7
22.0,0.3836266205933933,-0.24636952527132228,0.1,0.0
23.0,0.36577412635057216,-1.6461238196027157,1.0,0.0
24.0,1.4136303278650184,0.02136847531738062,0.25,0.0
25.0,0.22990924180894234,-0.025332897044130442,0.25,0.0
26.0,0.2480700837441861,0.4347604278436673,0.1,0.0
27.0,0.3992189598152271,-0.04897235421928925,0.25,0.0
28.0,1.502221536886812,-0.13165480847762812,0.1,0.0
29.0,0.5354327610708634,-0.08267627448608694,0.1,0.0
30.0,0.20279292533179755,-2.0091304549223725,0.1,0.0
31.0,0.4277496464639432,0.0009274947263610001,1.0,0.0
32.0,0.5125704478912361,-0.07337719847355428,0.1,0.0
33.0,0.6768422669650044,-0.05997841089948586,0.25,0.0
34.0,0.40939569848100943,-0.20927777924142865,0.25,0.0
35.0,0.41052423595588206,0.11013666450726989,0.1,0.0
36.0,0.3501959852002183,-0.2194430124491631,0.1,0.0
37.0,0.515365851475934,-0.5453172488382703,0.1,0.0
38.0,0.4222536836469456,0.2985814719802009,0.1,0.0
39.0,0.3961246007066918,-0.024172364171652694,0.25,0.0
40.0,1.407659525125432,-0.14931064659314974,0.1,0.0
41.0,0.7637637211995861,-0.08575551551839644,0.1,0.0
42.0,0.5722047316374198,-24.716777437376813,0.1,0.0
43.0,0.9466271691199383,0.06149156505666331,0.1,0.0
44.0,0.3924293022411804,-0.4350516135176692,0.1,0.0
45.0,0.397784597475528,-0.6577262963297859,0.1,0.0
46.0,0.637560511759514,-0.04680504575890887,0.1,0.0
47.0,0.5123475421953553,0.09041507942742055,0.1,0.0
48.0,0.29157981371377406,-0.17235701336112985,0.1,0.0
49.0,0.36163572153644974,-0.14120134511062687,0.1,0.0
50.0,0.7194745014467263,-0.1830626432028566,0.1,0.0
51.0,0.6482226005578344,-24.392074550163642,0.1,0.0
52.0,9.949388636226079,-0.25275108514086075,0.1,0.5
53.0,0.34005893097949264,-5.008629172953087,0.1,0.0
54.0,0.4267088360201087,0.002130759142388694,0.5,0.0
55.0,9.417154523905719,-0.23997729601484097,0.1,0.0
56.0,0.29718724817485453,-0.34052889114434604,0.25,0.0
57.0,0.2945977320704721,-0.017092909552054003,0.1,0.0
58.0,0.5694896621573295,0.06975995863252837,0.5,0.0
59.0,0.14162566763061785,0.20919640591092492,0.1,0.0
60.0,0.4405824239279227,-0.14547361508517787,0.1,0.0
61.0,9.957266531572962,-0.09290499113670125,0.1,0.4
62.0,0.5013750875165972,-0.061919094596595725,0.25,0.0
63.0,0.5982630230008894,-0.030701155649668133,0.25,0.6
64.0,0.23850782076471164,0.2972300114653492,0.1,0.0
65.0,0.3201587776815451,-0.6354000719953734,0.25,0.0
66.0,0.20107408182788727,-0.1578136422838583,0.1,0.0
67.0,0.45147237896125336,-0.07329003977359161,0.25,0.0
68.0,0.5853866097102929,-0.9827836241193388,0.1,0.0
69.0,0.6076798607210596,-0.2793981041846303,0.1,0.6
