Run,MSE,R2,epsilon,C
0.0,0.7401958376334508,-0.36024408373202266,0.5,10.0
1.0,1.6542787274502806,-0.03894702671781802,0.5,5.0
2.0,2.1925947220596727,-1.0992355792252169,0.3,1.0
3.0,0.7134010327678381,-0.07940821387070529,0.3,50.0
4.0,0.5514438521340772,-0.26759094879342893,0.5,10.0
5.0,0.18616921785916546,0.028060779852236983,0.4,0.5
6.0,0.5879140004738634,0.0026240013023961506,0.5,25.0
7.0,10.012520726382864,-0.20442042254047665,0.3,0.5
8.0,1.6779276909328498,-0.032713664764142836,0.2,0.5
9.0,8.916232815949687,-0.09130628011566633,0.5,5.0
10.0,0.18084174400790493,-1.0352398253106596,0.5,5.0
11.0,1.8637345245466865,-1.6277724690779065,0.4,25.0
12.0,0.48303260300312073,-0.2815718081206817,0.4,5.0
13.0,0.6223299678955111,-0.10256856957348437,0.4,1.0
14.0,9.54864419920574,-0.2041927921757083,0.4,0.5
15.0,0.26303767964251484,-1.5438138458816155,0.5,50.0
16.0,0.445251733742501,0.09372951979397304,0.1,10.0
17.0,0.6221611404457469,0.04023669666365215,0.5,25.0
18.0,2.0490807424036355,-0.4477211043412388,0.2,0.5
19.0,0.3214223961961604,0.4303228205721339,0.5,5.0
20.0,0.5154770736112384,-0.3056489985572626,0.4,5.0
21.0,0.333333362521827,-1.059211914721653,0.5,0.1
22.0,1.6008823203691112,0.0017443733851828513,0.4,0.5
23.0,0.6777332591973416,0.0016422524669746918,0.3,0.1
24.0,0.3586944340852672,-2.755503903537338,0.5,25.0
25.0,0.1539386622197465,-0.28077401783848677,0.2,1.0
26.0,0.2957017411137831,-0.07865327918141296,0.5,1.0
27.0,0.1360166708895637,-0.15613845184646435,0.3,0.1
28.0,0.3891308872050193,-0.10388509173180904,0.2,0.5
29.0,0.13008935581197292,-0.7798191842928166,0.5,5.0
30.0,1.2420242521792808,-0.4280478905617693,0.2,0.1
31.0,1.701056490160513,-0.13184203599277122,0.5,0.5
32.0,0.21674616174696942,0.1166896004960889,0.4,5.0
33.0,1.6793966542517034,-0.43511448383288287,0.3,5.0
34.0,1.5954019767089467,-0.07093120802881758,0.3,0.1
35.0,0.9381463472321112,-0.5127108506073352,0.1,25.0
36.0,0.3082900020459219,-0.017463753174509877,0.4,1.0
37.0,0.2588541480502893,-5.409768569804956,0.4,0.1
38.0,10.224802654591503,-0.18853411624739502,0.2,0.1
39.0,0.7216411784393124,-0.4732354606165161,0.5,25.0
40.0,0.19671788844207963,0.19641834400364044,0.5,25.0
41.0,0.19864106313396648,-0.8748585429192286,0.5,10.0
42.0,0.2399761537047779,-1.2696865193622497,0.5,25.0
43.0,0.6167768188365745,-0.06097114093449796,0.5,5.0
44.0,0.41355596025778985,-0.3678821128689387,0.5,50.0
45.0,0.6831649322439344,-0.23359815528720373,0.3,50.0
46.0,8.134280396686224,0.019384615134284577,0.4,10.0
47.0,0.11131316575937181,0.3404094163904534,0.2,25.0
48.0,0.4859768736408867,0.01250515865942936,0.2,0.1
49.0,0.2889266004340639,0.4531318346224896,0.5,25.0
50.0,0.2392515428934991,-2.1925571386878997,0.4,0.1
51.0,0.19270127053881797,-0.24542308425404813,0.5,25.0
52.0,0.8211799910957047,-0.8475096358808651,0.4,10.0
53.0,0.15303018127228257,-0.6853694204591352,0.4,0.1
54.0,0.1378208635068763,-0.3048984671757704,0.2,0.1
55.0,0.16513411960383007,-0.391726393568554,0.5,5.0
56.0,0.47331421821767217,-0.7048021735865302,0.5,25.0
57.0,0.6576160717450386,0.019273584592563786,0.5,0.1
58.0,0.10837333951705545,-1.7137825448652895,0.5,5.0
59.0,0.4728618856141007,0.016163581567733787,0.3,0.1
60.0,0.7483356129647806,-0.08378130661281857,0.5,25.0
61.0,2.0877356612309184,-0.8731436087924564,0.3,25.0
62.0,0.23406242376963995,-3.2011623485235345,0.5,25.0
63.0,0.47464890466296233,0.15412968908194546,0.4,5.0
64.0,9.189198201904446,-0.13230975384432098,0.5,25.0
65.0,0.23997085460489628,-0.2670489989542679,0.5,50.0
66.0,0.5659559360560465,-0.1663498686723619,0.2,1.0
67.0,0.41046444733564125,-0.18099647255571316,0.5,0.5
68.0,0.10520782671292295,-0.5342892788678468,0.5,25.0
69.0,0.6732237197138663,-0.10930266364671759,0.5,1.0
70.0,0.4457093239367424,-0.360133022001353,0.5,10.0
71.0,1.4371843575005303,-0.23075132132101017,0.5,0.5
72.0,0.33495844417617393,0.13541880969615083,0.5,1.0
73.0,0.9153492036399946,-0.19339683324317436,0.3,10.0
74.0,0.41863943796867586,-1.5907084233216384,0.5,25.0
75.0,0.20305454982255586,-0.19107331409377148,0.3,0.1
76.0,0.4754616075902184,0.18359681050860177,0.5,5.0
77.0,2.101195404126192,-0.6989812015983687,0.4,50.0
78.0,0.35672328608713605,-0.5398083035837682,0.3,25.0
79.0,0.15711011415098802,-0.08302798646961773,0.5,0.1
80.0,0.31800021442593746,-0.8530528544732088,0.5,50.0
81.0,0.6661829779161852,-0.4081571226876952,0.4,1.0
82.0,0.06457089687285292,-0.12269785748668327,0.5,0.1
83.0,0.32408708238433226,0.0018280414608362605,0.5,5.0
84.0,0.3715548081415838,0.03059078048677677,0.5,10.0
85.0,0.5875185131179379,-0.10466455161724397,0.5,50.0
86.0,0.3379488085454303,0.16248831347313486,0.5,25.0
87.0,0.4162389448299946,-0.2759563094460631,0.5,25.0
88.0,0.5356133857473168,-0.02049905162592336,0.2,0.1
89.0,0.8217014829254701,-0.9658700492019445,0.2,0.5
90.0,0.265825975448978,-1.16056569625894,0.5,50.0
91.0,0.8262448757769849,-0.051863454648731766,0.5,5.0
92.0,0.522961166912911,0.04688197171735997,0.4,5.0
93.0,0.5481559823129605,0.005230110727970527,0.5,0.1
94.0,0.8101013703137774,-1.6477497740499314,0.4,25.0
